,,,,,,,,,,,,,,,,,,
,滿月記帳表-股票版,,,,2025年,,,,,,,,,,,,年度總計,
,,,,證交稅(減項),,,,,,,,,,,,,0 ,
,,,交易成本總計,,"1,976 ",42 ,89 ,108 ,5 ,5 ,988 ,31 ,6 ,5 ,26 ,5 ,"3,286 ",
,5,"股息
(依通知書填入)","現金
股利",元大高股息,"29,547 ",,,,"34,795 ",,,"30,537 ",,,"31,555 ",,"126,434 ",
,,,,元大台灣50,,"19,241 ",,,,,,"13,357 ",,,,,"32,598 ",
,,,,國泰永續高股息,,,"21,475 ",,,"21,748 ",,,"20,047 ",,,"21,014 ","84,284 ",
,,,,元大台灣高息低波,"13,654 ",,,"19,755 ",,,"18,126 ",,,"13,682 ",,,"65,217 ",
,,,,兆豐金,,,,,,,,,"29,350 ",,,,"29,350 ",
,,,"股票
股利",兆豐金,,,,,,,,,,,,,0 ,
,,,,,,,,,,,,,,,,,0 ,
,,,,,,,,,,,,,,,,,0 ,
,,,股息總計,,"43,201 ","19,241 ","21,475 ","19,755 ","34,795 ","21,748 ","18,126 ","43,894 ","49,397 ","13,682 ","31,555 ","21,014 ","337,883 ",
